공고번호,추정가격,지역제한,종목,특수실적,계약방법,적격평가세부기준,입력일
2026-00464,151705273,경북,건축/토건,,수의,,2026-02-04
R26BK01312501-000,208389091,제주,건축/토건,,수의,,2026-02-04
R26BK01314882-000,156776989,"강원,평창군",건축/토건,,수의,,2026-02-04
R26BK01316042-000,96365119,"강원,평창군",건축/토건,,수의,,2026-02-04
R26BK01316123-000,217689210,"강원,평창군",건축/토건,,수의,,2026-02-04
R26BK01314853-000,100438225,"강원,평창군",건축/토건,,수의,,2026-02-04
R26BK01312367-000,283460000,"전북,남원시",토목/토건,,수의,,2026-02-04
R26BK01314505-000,56739091,"경기,성남시",건축/토건,,수의,,2026-02-04
R26BK01316295-000,164190000,"경기,구리시",건축/토건,,수의,,2026-02-04
R26BK01316870-000,152327273,"전남,구례군",토목/토건,,수의,,2026-02-04
R26BK01316426-000,172976364,"전남,순천시",건축/토건,,수의,,2026-02-04
R26BK01314879-000,293909091,"경북,영덕군",토목/토건,,수의,,2026-02-04
R26BK01316388-000,366700000,"강원,평창군",토목/토건,,수의,,2026-02-04
R26BK01316873-000,300209519,"경남,진주시",건축/토건,,수의,,2026-02-04
R26BK01316058-000,101681545,"경기,가평군","토목/토건/(지반조성포장,비계구조)",,수의,,2026-02-04
E012600610,9437360000,경기,"(건축,토목,전기)/(토건,전기)",,적격심사,한국전력공사_100억미만,2026-02-04
R26BK01313522-000,1195818182,전국/서울,지반조성포장/토목/토건,,적격심사,행자부_별표-4,2026-02-04
R26BK01311371-000,24804636364,전국/경북,토목/토건,,적격심사,행자부_별표-1,2026-02-04
2026-01-000019-00,18433980000,전국/경기,건축/토건,철도역사_준공금액,간이종심제,국가철도공단(간이종심제)_별표-1-3,2026-02-04
R26BK01312223-000,5171830000,전국,건축/토건,특수실적,적격심사,조달청_별표-1,2026-02-04
R26BK01311345-000,22528972728,전국/경북,토목/토건,,적격심사,행자부_별표-1,2026-02-04
R26BK01316010-001,4008955454,전북,"토목/토건/(철콘,지반조성포장)",,적격심사,한국농어촌공사_별표-2,2026-02-04
R26BK01316043-001,1847992873,전남,"(토목,건축)/토건",,적격심사,한국농어촌공사_별표-2,2026-02-04
R26BK01315965-000,636363637,서울,조경식재시설물/조경,,적격심사,행자부_별표-5,2026-02-04
R26BK01312176-000,454545455,경기,조경식재시설물/조경,,적격심사,행자부_별표-5,2026-02-04
R26BK01316448-000,271253637,경기,지반조성포장/토목/토건,,적격심사,행자부_별표-6,2026-02-04
R26BK01316806-000,271253637,경기,지반조성포장/토목/토건,,적격심사,행자부_별표-6,2026-02-04
R26BK01317016-000,271253637,경기,지반조성포장/토목/토건,,적격심사,행자부_별표-6,2026-02-04
R26BK01317302-000,272357273,경기,지반조성포장/토목/토건,,적격심사,행자부_별표-6,2026-02-04
R26BK01314330-000,354522727,경기,지반조성포장/토목/토건,,적격심사,행자부_별표-6,2026-02-04
R26BK01314381-000,354522727,경기,지반조성포장/토목/토건,,적격심사,행자부_별표-6,2026-02-04
E062600058,706000000,전국,가스난방/건축/토건/산업환경설비,특수실적,적격심사,조달청_별표-3,2026-02-04
U26S028000/3,926370000,전국,도장습식방수석공/건축/토건,한수원등록업체[도장],적격심사,한국수력원자력_별표-1-전문,2026-02-04
I26S003000/1,463029000,강원,"(도장습식방수석공,실내건축,비계구조,금속창호지붕,철콘)/건축/토건",,적격심사,한국수력원자력_별표-1-전문,2026-02-04
E062600054,600620000,강원,"(건축,토목)/토건/(금속창호지붕,실내건축)",,적격심사,조달청_별표-3,2026-02-04
R26BK01314773-000,1572172727,울산,토목/토건,,적격심사,행자부_별표-4,2026-02-04
R26BK01316095-000,525900909,전북,토목/토건,,적격심사,한국농어촌공사_별표-3,2026-02-04
R26BK01316751-000,668209100,전남,토목/토건,,적격심사,행자부_별표-5,2026-02-04
R26BK01314367-000,735727273,서울,지반조성포장/토목/토건,,적격심사,행자부_별표-5,2026-02-04
R26BK01315666-000,847411436,전남,토목/토건,,적격심사,한국농어촌공사_별표-3,2026-02-04
R26BK01315416-000,849545455,경남,토목/토건,,적격심사,행자부_별표-5,2026-02-04
R26BK01314695-000,497490909,대구,조경식재시설물/조경,,적격심사,행자부_별표-5,2026-02-04
R26BK01314249-000,593049090,충남,"토목/토건/(철콘,지반조성포장,도장습식방수석공)",,적격심사,행자부_별표-5,2026-02-04
R26BK01316068-000,739871819,서울,상하수도/토목/토건,,적격심사,행자부_별표-5,2026-02-04
R26BK01316958-000,561372728,전남,토목/토건,,적격심사,행자부_별표-5,2026-02-04
R26BK01316794-000,556610000,경기,토목/토건,,적격심사,행자부_별표-5,2026-02-04
R26BK01310178-000,2921860000,전북,"토목/토건/(철콘,지반조성포장)",,적격심사,한국농어촌공사_별표-2,2026-02-04
R26BK01315700-000,456585455,강원,"(도장습식방수석공,금속창호지붕)/건축/토건",,적격심사,행자부_별표-5,2026-02-04
R26BK01314483-000,726348182,경기,건축/토건,,적격심사,행자부_별표-5,2026-02-04
2600398-00,566726532,전국,"(실내건축,기계가스설비)/건축/토건",단일실적[실내건축]_준공금액,적격심사,한국토지주택공사_별표-4,2026-02-04
R26BK01316899-000,1538187037,경기,토목/토건,,적격심사,행자부_별표-4,2026-02-04
R26BK01315008-000,550400000,충북,토목/토건,,적격심사,행자부_별표-5,2026-02-04
2026-00506,1065096364,서울,토목/토건,,적격심사,국방부_별지-4,2026-02-04
R26BK01315816-000,582190000,인천,건축/토건,,적격심사,조달청_별표-3,2026-02-04
R26BK01311976-000,2033038182,충남,건축/토건,,적격심사,행자부_별표-4,2026-02-04
R26BK01316569-000,595960000,전북,조경,,적격심사,행자부_별표-5,2026-02-04
R26BK01316509-000,619778182,경기,도장습식방수석공/건축/토건,,적격심사,행자부_별표-5,2026-02-04
R26BK01314784-000,313703637,경기,통신,,적격심사,행자부_별표-6,2026-02-04
R26BK01314815-000,533629091,경기,통신,,적격심사,행자부_별표-5,2026-02-04
R26BK01314841-000,402945455,경기,통신,,적격심사,행자부_별표-5,2026-02-04
R26BK01314901-000,431894545,경기,통신,,적격심사,행자부_별표-5,2026-02-04
R26BK01314942-000,519850000,경기,통신,,적격심사,행자부_별표-5,2026-02-04
R26BK01314987-000,469045455,경기,통신,,적격심사,행자부_별표-5,2026-02-04
R26BK01315025-000,496464546,경기,통신,,적격심사,행자부_별표-5,2026-02-04
R26BK01315049-000,448329091,경기,통신,,적격심사,행자부_별표-5,2026-02-04
R26BK01315162-000,46133637,"경남,합천군",전기,,수의,,2026-02-04
R26BK01317209-000,126059284,"경기,이천시/경기,여주시",전기,,수의,,2026-02-04
R26BK01317033-000,300553637,서울,전기,,적격심사,행자부_별표-6,2026-02-04
R26BK01316356-000,144649090,서울,조경식재시설물,,수의,,2026-02-04
R26BK01317259-000,40909100,제주,상하수도,,수의,,2026-02-04
R26BK01317350-000,113636363,"경기,남양주시",지반조성포장,,수의,,2026-02-04
R26BK01313773-000,153320000,"경기,안산시",상하수도,장비[하수관로준설차량],수의,,2026-02-04
